estudiante,asignatura,semestre,nomsemestre,promedio
14160183,TALLER DE ETICA,1,EJ2014,96
14160183,FUNDAMENTOS DE INVESTIGACION,1,EJ2014,91
14160183,CALCULO DIFERENCIAL,1,EJ2014,93
14160183,FUNDAMENTOS DE PROGRAMACION,1,EJ2014,80
14160183,MATEMATICAS DISCRETAS,1,EJ2014,87
14160183,TALLER DE ADMINISTRACION,1,EJ2014,81
14160183,CALCULO INTEGRAL,2,AD2014,70
14160183,ALGEBRA LINEAL,2,AD2014,80
14160183,QUIMICA,2,AD2014,70
14160183,CONTABILIDAD FINANCIERA,2,AD2014,71
14160183,PROG. ORIENTADA A OBJETOS,2,AD2014,0
14160183,PROBABILIDAD Y ESTADISTICA,2,AD2014,0
14160183,DESARROLLO SUSTENTABLE,3,EJ2015,89
14160183,CALCULO VECTORIAL,3,EJ2015,80
14160183,SISTEMAS OPERATIVOS,3,EJ2015,85
14160183,PROG. ORIENTADA A OBJETOS,3,EJ2015,0
14160183,PROBABILIDAD Y ESTADISTICA,3,EJ2015,80
14160183,PROG. ORIENTADA A OBJETOS,3,V2015,84
14160183,ECUACIONES DIFERENCIALES,4,AD2015,70
14160183,CULTURA EMPRESARIAL,4,AD2015,89
14160183,INVESTIGACION DE OPERACIONES,4,AD2015,0
14160183,ESTRUCTURA DE DATOS,4,AD2015,0
14160183,FISICA GENERAL,4,AD2015,83
14160183,FUNDAM. DE BASES DE DATOS,5,EJ2016,0
14160183,METODOS NUMERICOS,5,EJ2016,81
14160183,ESTRUCTURA DE DATOS,5,EJ2016,79
14160183,PRINC. ELECT. Y APLIC. DIGIT.,5,EJ2016,84
14160183,ESTRUCTURA DE DATOS,5,V2016,70
14160183,TALLER DE SISTEMAS OPERATIVOS,6,AD2016,86
14160183,FUND. DE ING. DE SOFTWARE,6,AD2016,98
14160183,INVESTIGACION DE OPERACIONES,6,AD2016,81
14160183,TOPICOS AVANZ. DE PROG.,6,AD2016,83
14160183,FUNDAM. DE TELECOMUNICACIONES,7,EJ2017,75
14160183,FUNDAM. DE BASES DE DATOS,7,EJ2017,87
14160183,ARQUITECTURA DE COMPUTADORAS,7,EJ2017,80
14160183,INGENIERIA DE SOFTWARE,7,EJ2017,0
14160183,LENGUAJES Y AUTOMATAS I,7,EJ2017,87
14160183,SIMULACION,7,EJ2017,83
14160183,LENGUAJE DE INTERFAZ,7,V2017,89
14160183,TALLER DE BASES DE DATOS,8,AD2017,87
14160183,PROGR. LOGICA Y FUNCIONAL,8,AD2017,0
14160183,INGENIERIA DE SOFTWARE,8,AD2017,90
14160183,LENGUAJES Y AUTOMATAS II,8,AD2017,70
14160183,REDES DE COMPUTADORA,8,AD2017,85
14160183,TALLER DE INVESTIGACION I,9,EJ2018,90
14160183,GEST. EMP. BAS. EN TIC,9,EJ2018,80
14160183,GRAFICACION,9,EJ2018,100
14160183,PROGR. LOGICA Y FUNCIONAL,9,EJ2018,0
14160183,CONMUT. Y ENRUT. DE REDES D,9,EJ2018,0
14160183,GESTION DE PROY. DE SOFTWARE,9,EJ2018,74
14160183,TALLER DE INVESTIGACION II,10,AD2018,82
14160183,PROGRAMACION WEB,10,AD2018,80
14160183,PROGR. LOGICA Y FUNCIONAL,10,AD2018,70
14160183,CONMUT. Y ENRUT. DE REDES D,10,AD2018,76
14160183,DES. DE SOFTW. ORIENT. A SERV.,11,EJ2019,81
14160183,DIS. E IMP. DE SOFT. ORI. A LA,11,EJ2019,0
14160183,ADMINISTRACION DE REDES,11,EJ2019,73
14160183,ADMON. DE BASES DE DATOS,11,EJ2019,90
14160183,INTELIGENCIA ARTIFICIAL,11,EJ2019,0
14160183,SISTEMAS PROGRAMABLES,11,EJ2019,81
14160183,SERVICIO SOCIAL,11,EJ2019,90
14160183,DIS. E IMP. DE SOFT. ORI. A LA,11,V2019,75
14160192,TALLER DE ETICA,1,EJ2014,96
14160192,FUNDAMENTOS DE INVESTIGACION,1,EJ2014,0
14160192,CALCULO DIFERENCIAL,1,EJ2014,90
14160192,FUNDAMENTOS DE PROGRAMACION,1,EJ2014,86
14160192,MATEMATICAS DISCRETAS,1,EJ2014,80
14160192,TALLER DE ADMINISTRACION,1,EJ2014,90
14160192,FUNDAMENTOS DE INVESTIGACION,2,AD2014,75
14160192,CALCULO INTEGRAL,2,AD2014,0
14160192,ALGEBRA LINEAL,2,AD2014,80
14160192,CONTABILIDAD FINANCIERA,2,AD2014,70
14160192,PROG. ORIENTADA A OBJETOS,2,AD2014,0
14160192,PROBABILIDAD Y ESTADISTICA,2,AD2014,0
14160192,QUIMICA,3,EJ2015,0
14160192,PROG. ORIENTADA A OBJETOS,3,EJ2015,70
14160192,PROBABILIDAD Y ESTADISTICA,3,EJ2015,90
14160192,CALCULO INTEGRAL,3,EJ2015,70
14160192,CALCULO VECTORIAL,4,AD2015,0
14160192,SISTEMAS OPERATIVOS,4,AD2015,84
14160192,CULTURA EMPRESARIAL,4,AD2015,78
14160192,INVESTIGACION DE OPERACIONES,4,AD2015,97
14160192,ESTRUCTURA DE DATOS,4,AD2015,0
14160192,FISICA GENERAL,4,AD2015,82
14160192,QUIMICA,5,EJ2016,95
14160192,FUNDAM. DE BASES DE DATOS,5,EJ2016,0
14160192,ESTRUCTURA DE DATOS,5,EJ2016,81
14160192,CALCULO VECTORIAL,5,V2015,79
14160192,DESARROLLO SUSTENTABLE,6,AD2016,84
14160192,ECUACIONES DIFERENCIALES,6,AD2016,0
14160192,TALLER DE SISTEMAS OPERATIVOS,6,AD2016,85
14160192,FUND. DE ING. DE SOFTWARE,6,AD2016,83
14160192,PRINC. ELECT. Y APLIC. DIGIT.,6,AD2016,88
14160192,ECUACIONES DIFERENCIALES,7,EJ2017,80
14160192,FUNDAM. DE TELECOMUNICACIONES,7,EJ2017,82
14160192,FUNDAM. DE BASES DE DATOS,7,EJ2017,87
14160192,METODOS NUMERICOS,7,EJ2017,91
14160192,TOPICOS AVANZ. DE PROG.,7,EJ2017,0
14160192,TALLER DE INVESTIGACION I,8,AD2017,85
14160192,TALLER DE BASES DE DATOS,8,AD2017,84
14160192,INGENIERIA DE SOFTWARE,8,AD2017,90
14160192,LENGUAJES Y AUTOMATAS I,8,AD2017,79
14160192,SIMULACION,8,AD2017,82
14160192,TOPICOS AVANZ. DE PROG.,8,AD2017,91
14160192,TALLER DE INVESTIGACION II,9,EJ2018,89
14160192,GEST. EMP. BAS. EN TIC,9,EJ2018,82
14160192,ARQUITECTURA DE COMPUTADORAS,9,EJ2018,80
14160192,REDES DE COMPUTADORA,9,EJ2018,80
14160192,GESTION DE PROY. DE SOFTWARE,9,EJ2018,74
14160192,PROGRAMACION WEB,9,EJ2018,85
14160192,DES. DE SOFTW. ORIENT. A SERV.,10,AD2018,85
14160192,GRAFICACION,10,AD2018,100
14160192,LENGUAJE DE INTERFAZ,10,AD2018,88
14160192,PROGR. LOGICA Y FUNCIONAL,10,AD2018,70
14160192,CONMUT. Y ENRUT. DE REDES D,10,AD2018,0
14160192,SERVICIO SOCIAL,10,AD2018,100
14160192,DIS. E IMP. DE SOFT. ORI. A LA,11,EJ2019,75
14160192,TEC. EMERG.,11,EJ2019,77
14160192,ADMON. DE BASES DE DATOS,11,EJ2019,90
14160192,SISTEMAS PROGRAMABLES,11,EJ2019,84
14160192,CONMUT. Y ENRUT. DE REDES D,11,EJ2019,70
14160192,ADMINISTRACION DE REDES,11,V2019,75
14160192,LENGUAJES Y AUTOMATAS II,11,V2019,82
14161186,TALLER DE ETICA,1,AD2014,85
14161186,FUNDAMENTOS DE INVESTIGACION,1,AD2014,78
14161186,CALCULO DIFERENCIAL,1,AD2014,73
14161186,FUNDAMENTOS DE PROGRAMACION,1,AD2014,0
14161186,MATEMATICAS DISCRETAS,1,AD2014,85
14161186,TALLER DE ADMINISTRACION,1,AD2014,91
14161186,CALCULO INTEGRAL,2,EJ2015,0
14161186,ALGEBRA LINEAL,2,EJ2015,70
14161186,QUIMICA,2,EJ2015,84
14161186,CONTABILIDAD FINANCIERA,2,EJ2015,70
14161186,FUNDAMENTOS DE PROGRAMACION,2,EJ2015,86
14161186,PROBABILIDAD Y ESTADISTICA,2,EJ2015,0
14161186,CALCULO INTEGRAL,3,AD2015,79
14161186,SISTEMAS OPERATIVOS,3,AD2015,83
14161186,CULTURA EMPRESARIAL,3,AD2015,75
14161186,PROG. ORIENTADA A OBJETOS,3,AD2015,0
14161186,PROBABILIDAD Y ESTADISTICA,3,AD2015,0
14161186,DESARROLLO SUSTENTABLE,4,EJ2016,75
14161186,FUNDAM. DE BASES DE DATOS,4,EJ2016,0
14161186,TALLER DE SISTEMAS OPERATIVOS,4,EJ2016,0
14161186,PROBABILIDAD Y ESTADISTICA,4,EJ2016,70
14161186,FISICA GENERAL,4,V2016,71
14161186,CALCULO VECTORIAL,5,AD2016,0
14161186,FUNDAM. DE BASES DE DATOS,5,AD2016,99
14161186,TALLER DE SISTEMAS OPERATIVOS,5,AD2016,84
14161186,PROG. ORIENTADA A OBJETOS,5,AD2016,0
14161186,FUND. DE ING. DE SOFTWARE,7,V2017,82
14161186,ECUACIONES DIFERENCIALES,7,AD2017,70
14161186,FUNDAM. DE TELECOMUNICACIONES,7,AD2017,77
14161186,TALLER DE BASES DE DATOS,7,AD2017,88
14161186,INVESTIGACION DE OPERACIONES,7,AD2017,80
14161186,ARQUITECTURA DE COMPUTADORAS,7,AD2017,0
14161186,LENGUAJES Y AUTOMATAS I,7,AD2017,81
14161186,METODOS NUMERICOS,8,EJ2018,73
14161186,PROGR. LOGICA Y FUNCIONAL,8,EJ2018,0
14161186,ARQUITECTURA DE COMPUTADORAS,8,EJ2018,78
14161186,ESTRUCTURA DE DATOS,8,EJ2018,75
14161186,INGENIERIA DE SOFTWARE,8,EJ2018,80
14161186,REDES DE COMPUTADORA,8,EJ2018,84
14161186,SIMULACION,8,V2018,76
14161186,TOPICOS AVANZ. DE PROG.,8,V2018,81
14161186,PROGRAMACION WEB,9,AD2018,81
14161186,GEST. EMP. BAS. EN TIC,9,AD2018,82
14161186,GRAFICACION,9,AD2018,96
14161186,LENGUAJE DE INTERFAZ,9,AD2018,83
14161186,PROGR. LOGICA Y FUNCIONAL,9,AD2018,70
14161186,GESTION DE PROY. DE SOFTWARE,9,AD2018,76
14161186,TALLER DE INVESTIGACION I,10,EJ2019,74
14161186,DES. DE SOFTW. ORIENT. A SERV.,10,EJ2019,83
14161186,ADMON. DE BASES DE DATOS,10,EJ2019,95
14161186,SISTEMAS PROGRAMABLES,10,EJ2019,87
14161186,CONMUT. Y ENRUT. DE REDES D,10,EJ2019,80
14161186,DIS. E IMP. DE SOFT. ORI. A LA,10,V2019,70
14161186,LENGUAJES Y AUTOMATAS II,10,V2019,70
14161189,TALLER DE ETICA,1,AD2014,78
14161189,FUNDAMENTOS DE INVESTIGACION,1,AD2014,86
14161189,CALCULO DIFERENCIAL,1,AD2014,70
14161189,FUNDAMENTOS DE PROGRAMACION,1,AD2014,90
14161189,MATEMATICAS DISCRETAS,1,AD2014,70
14161189,TALLER DE ADMINISTRACION,1,AD2014,77
